valid_time,number,expver,Temperatura_C,Radiacion_Wm2,Precipitacion_mm
2016-05-01,0.0,0001,24.410294,202.42282080866133,9.991868
2016-06-01,0.0,0001,23.497591,177.42311578427956,11.197704
2016-07-01,0.0,0001,23.201214,176.59321759259262,11.537293
2016-08-01,0.0,0001,23.574091,187.20217458347847,10.252749
2016-09-01,0.0,0001,23.253563,187.8369081257982,10.954157
2016-10-01,0.0,0001,23.023697,162.35970012626262,17.061813
2016-11-01,0.0,0001,22.589653,134.0534661267851,16.489738
2016-12-01,0.0,0001,22.418476,167.23527632648322,7.892399
2017-01-01,0.0,0001,22.348078,206.96085960176478,3.7085114
2017-02-01,0.0,0001,23.139069,232.9066113360618,2.1464756
2017-03-01,0.0,0001,23.465612,242.1064410629281,3.201005
2017-04-01,0.0,0001,24.201115,235.33258007517708,4.8022623
2017-05-01,0.0,0001,23.689579,173.23197695344248,16.968664
2017-06-01,0.0,0001,23.656057,182.82588042784164,12.092945
2017-07-01,0.0,0001,23.267942,167.47765104348076,11.321401
2017-08-01,0.0,0001,23.427032,189.49745181702076,9.745957
2017-09-01,0.0,0001,23.585205,189.65038809430513,12.020373
2017-10-01,0.0,0001,23.252344,166.23523815743644,18.100037
2017-11-01,0.0,0001,22.753351,165.78242685475442,10.380293
2017-12-01,0.0,0001,22.227856,173.16644323986995,6.5658054
2018-01-01,0.0,0001,22.061666,170.28239732091026,7.52883
2018-02-01,0.0,0001,22.386118,228.4487198493556,2.7728734
2018-03-01,0.0,0001,23.3865,248.7604743556252,1.6905046
2018-04-01,0.0,0001,23.658781,231.77664072477648,5.0962486
2018-05-01,0.0,0001,23.667105,199.50965484587252,10.777794
2018-06-01,0.0,0001,23.37208,177.32245185330316,11.616125
2018-07-01,0.0,0001,23.137829,177.20666187739462,8.771828
2018-08-01,0.0,0001,23.153688,184.68694778242192,9.188677
2018-09-01,0.0,0001,23.20154,189.23078921397888,11.464142
2018-10-01,0.0,0001,22.75457,161.3614162095089,17.11621
2018-11-01,0.0,0001,23.023857,175.5990152966446,8.6452
2018-12-01,0.0,0001,22.754108,207.59704799431094,2.4027617
2019-01-01,0.0,0001,22.883537,217.3350015238593,1.3987846
2019-02-01,0.0,0001,23.493698,237.8408983876118,1.458912
2019-03-01,0.0,0001,23.745255,248.14774886073377,2.177659
2019-04-01,0.0,0001,24.374346,238.5165989637757,3.4151351
2019-05-01,0.0,0001,23.926918,169.04709196853594,15.509864
2019-06-01,0.0,0001,23.988853,192.66666666666666,9.921723
2019-07-01,0.0,0001,23.433556,188.4280681818182,9.14437
2019-08-01,0.0,0001,23.71277,194.02458485719262,8.785199
2019-09-01,0.0,0001,23.568144,193.76274664750957,11.123231
2019-10-01,0.0,0001,22.958826,175.589089421514,14.161659
2019-11-01,0.0,0001,23.003786,175.92370413909208,7.2233343
2019-12-01,0.0,0001,22.996103,171.2804230523627,5.9216323
2020-01-01,0.0,0001,23.095304,192.29826671891325,3.8680553
2020-02-01,0.0,0001,23.555082,232.15934289010798,2.0085196
2020-03-01,0.0,0001,23.777866,261.01250678480204,1.4569873
2020-04-01,0.0,0001,24.49642,239.22202753105773,3.9278905
2020-05-01,0.0,0001,24.251583,188.82554731945896,11.196556
2020-06-01,0.0,0001,23.440178,173.51664852548473,14.353207
2020-07-01,0.0,0001,23.257086,187.87602022378965,10.215524
2020-08-01,0.0,0001,23.335093,179.89171920352956,15.122793
2020-09-01,0.0,0001,23.28412,191.5260724703936,11.816346
2020-10-01,0.0,0001,22.978407,161.68947074915823,15.281376
2020-11-01,0.0,0001,22.762936,147.4513256124463,17.836676
2020-12-01,0.0,0001,22.307896,177.19239630500405,8.132234
2021-01-01,0.0,0001,22.369003,202.40592316846627,3.3560903
2021-02-01,0.0,0001,23.042368,222.3458436012423,2.7693002
2021-03-01,0.0,0001,23.047237,242.99195366016488,2.9315434
2021-04-01,0.0,0001,23.621244,218.57277327876469,5.9052887
2021-05-01,0.0,0001,23.600098,197.29528060780214,8.7919
2021-06-01,0.0,0001,23.311344,194.72443700655987,12.051224
2021-07-01,0.0,0001,23.329407,184.57317252989668,12.564522
2021-08-01,0.0,0001,23.111395,180.15075525368627,15.156113
2021-09-01,0.0,0001,23.137468,189.66746008939975,11.977395
2021-10-01,0.0,0001,23.185993,185.1045828435214,12.104283
2021-11-01,0.0,0001,22.486965,168.87033989318473,9.8475065
2021-12-01,0.0,0001,22.612238,183.84242547602463,4.860777
2022-01-01,0.0,0001,22.357275,214.01730393010567,1.7841018
2022-02-01,0.0,0001,22.541462,237.98546071345638,2.0335498
2022-03-01,0.0,0001,23.421165,245.3172865871357,2.3980107
2022-04-01,0.0,0001,23.614962,218.37892847294785,8.554273
2022-05-01,0.0,0001,23.549385,185.3296516530245,12.229997
2022-06-01,0.0,0001,22.56875,155.85328674677814,18.413578
2022-07-01,0.0,0001,23.00322,176.72963652327877,12.04715
2022-08-01,0.0,0001,22.980732,184.20759288285151,13.138321
2022-09-01,0.0,0001,23.148907,56.929616658684544,5.537378
2022-10-01,0.0,0001,22.998604,55.89884259259259,6.021712
2022-11-01,0.0,0001,22.474312,43.82087806948798,7.7554584
2022-12-01,0.0,0001,22.187445,56.67173378903983,1.7881206
2023-01-01,0.0,0001,22.279478,57.18535074161152,1.3711598
2023-02-01,0.0,0001,22.722296,63.93363618222454,1.1261864
2023-03-01,0.0,0001,23.253637,66.9257338652328,1.2335253
2023-04-01,0.0,0001,24.036114,74.86212179263903,0.9354901
2023-05-01,0.0,0001,25.027882,67.60911013874376,2.079646
2023-06-01,0.0,0001,24.33397,57.37136399918727,4.099058
2023-07-01,0.0,0001,24.067299,53.36758860153256,4.004768
2023-08-01,0.0,0001,24.129215,55.44747677928713,5.343929
2023-09-01,0.0,0001,24.141993,61.88273953616626,3.4342086
2023-10-01,0.0,0001,23.686153,49.344063416129686,7.3571143
2023-11-01,0.0,0001,23.526752,46.784700743062814,6.244993
2023-12-01,0.0,0001,23.457077,54.081669097585056,2.2501667
2024-01-01,0.0,0001,23.761429,59.84011149570417,0.95442253
2024-02-01,0.0,0001,23.696629,61.22142589690003,1.7113669
2024-03-01,0.0,0001,24.93736,253.1062193776849,1.6639034
2024-04-01,0.0,0001,24.837456,242.84961344769533,4.389889
2024-05-01,0.0,0001,25.052927,212.06626186433297,9.726518
2024-06-01,0.0,0001,23.95535,167.0069358455242,15.506659
2024-07-01,0.0,0001,23.762157,161.8783876843144,15.721558
2024-08-01,0.0,0001,23.844961,193.0631074393359,9.92333
2024-09-01,0.0,0001,23.927992,178.79701163938233,11.945945
2024-10-01,0.0,0001,23.41296,161.99715522683735,14.832185
2024-11-01,0.0,0001,22.726782,128.30317165911993,20.863565
2024-12-01,0.0,0001,22.66071,155.38409758504585,10.538671
2025-01-01,0.0,0001,22.637047,184.79433508939977,5.7758408
2025-02-01,0.0,0001,23.020134,211.29216558545224,3.8318055
2025-03-01,0.0,0001,24.025375,253.01655974254038,1.660405
2025-04-01,0.0,0001,24.003567,225.23960945663535,5.87546
2025-05-01,0.0,0001,24.07699,199.40185333942878,8.888953
2025-06-01,0.0,0001,23.36922,159.91335782392895,15.321525
2025-07-01,0.0,0001,23.457731,180.04845451642865,9.660627
2025-08-01,0.0,0001,23.4649,194.75032516254498,9.155213
2025-09-01,0.0,0005,23.38685,180.17520577542672,12.069105
2025-10-01,0.0,0005,22.989885,161.62560841895973,16.0006
